"","Team","Conf","Pred Win%","Pred Record","Pred Conf Win%","Pred Conf Record","Rank","Conf Rank"
"118","Southern Miss","Sun Belt",28.76,"3-9",43.72,"5-7",118,9
"119","Central Michigan","Mid-American",28.04,"3-9",48.24,"6-6",119,8
"120","Tulsa","American Athletic",27.75,"3-9",28.2,"3-9",120,12
"121","UTEP","Conference USA",27.32,"3-9",43.31,"5-7",121,10
"122","New Mexico State","Conference USA",26.15,"3-9",39.93,"5-7",122,11
"123","Western Michigan","Mid-American",25.84,"3-9",44.65,"5-7",123,9
"124","Arkansas State","Sun Belt",25.76,"3-9",38.56,"5-7",124,10
"125","UL Monroe","Sun Belt",24.84,"3-9",36.2,"4-8",125,11
"126","Nevada","Mountain West",24.62,"3-9",28.25,"3-9",126,12
"127","Charlotte","American Athletic",24.2,"3-9",25.24,"3-9",127,13
"128","Georgia State","Sun Belt",22.25,"3-9",33.08,"4-8",128,12
"129","Coastal Carolina","Sun Belt",21.43,"3-9",29.77,"4-8",129,13
"130","Middle Tennessee","Conference USA",21.25,"3-9",31.84,"4-8",130,12
"131","Kent State","Mid-American",20.01,"2-10",31.02,"4-8",131,10
"132","Akron","Mid-American",18,"2-10",31.03,"4-8",132,11
"133","Massachusetts","Mid-American",17.69,"2-10",31.61,"4-8",133,12
"134","Ball State","Mid-American",17.37,"2-10",29.65,"4-8",134,13
