"","school","rank"
"1","Ohio State",1
"2","Indiana",2
"3","Texas A&M",3
"4","Alabama",4
"5","Georgia",5
"6","Oregon",6
"7","Ole Miss",7
"8","Georgia Tech",8
"9","Vanderbilt",9
"10","BYU",10
"11","Miami",10
"12","Notre Dame",12
